qa_id,question,answer,category,page_section_ref,regulation_clause,curriculum_program,plan,ground_truth_source
80,รายวิชา 90641002 คือวิชาอะไร?,"ความฉลาดทางดิจิทัล (DIGITAL INTELLIGENCE QUOTIENT), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
81,รายวิชา 90641002 ความฉลาดทางดิจิทัล มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
82,ชื่อภาษาอังกฤษของรายวิชา 90641002 ความฉลาดทางดิจิทัล คืออะไร?,DIGITAL INTELLIGENCE QUOTIENT,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
83,รายวิชา 90641002 ความฉลาดทางดิจิทัล อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
84,รายวิชา 90642033 คือวิชาอะไร?,"กฎหมายสำหรับคนรุ่นใหม่ (LAW FOR NEW GENERATION), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
85,รายวิชา 90642033 กฎหมายสำหรับคนรุ่นใหม่ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
86,ชื่อภาษาอังกฤษของรายวิชา 90642033 กฎหมายสำหรับคนรุ่นใหม่ คืออะไร?,LAW FOR NEW GENERATION,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
87,รายวิชา 90642033 กฎหมายสำหรับคนรุ่นใหม่ อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
88,รายวิชา 90644008 คือวิชาอะไร?,"ภาษาอังกฤษพื้นฐาน 2 (FOUNDATION ENGLISH 2), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
89,รายวิชา 90644008 ภาษาอังกฤษพื้นฐาน 2 มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
90,ชื่อภาษาอังกฤษของรายวิชา 90644008 ภาษาอังกฤษพื้นฐาน 2 คืออะไร?,FOUNDATION ENGLISH 2,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
91,รายวิชา 90644008 ภาษาอังกฤษพื้นฐาน 2 อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
92,รายวิชา 06026206 คือวิชาอะไร?,"การวิเคราะห์ข้อมูลและการโปรแกรม (DATA ANALYTICS AND PROGRAMMING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
93,รายวิชา 06026206 การวิเคราะห์ข้อมูลและการโปรแกรม มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
94,ชื่อภาษาอังกฤษของรายวิชา 06026206 การวิเคราะห์ข้อมูลและการโปรแกรม คืออะไร?,DATA ANALYTICS AND PROGRAMMING,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
95,รายวิชา 06026206 การวิเคราะห์ข้อมูลและการโปรแกรม อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
96,รายวิชา 06066000 คือวิชาอะไร?,"คณิตศาสตร์ไม่ต่อเนื่อง (DISCRETE MATHEMATICS), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
97,รายวิชา 06066000 คณิตศาสตร์ไม่ต่อเนื่อง มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
98,ชื่อภาษาอังกฤษของรายวิชา 06066000 คณิตศาสตร์ไม่ต่อเนื่อง คืออะไร?,DISCRETE MATHEMATICS,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
99,รายวิชา 06066000 คณิตศาสตร์ไม่ต่อเนื่อง อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
100,รายวิชา 06066300 คือวิชาอะไร?,"แนวคิดระบบฐานข้อมูล (DATABASE SYSTEM CONCEPTS), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
101,รายวิชา 06066300 แนวคิดระบบฐานข้อมูล มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
102,ชื่อภาษาอังกฤษของรายวิชา 06066300 แนวคิดระบบฐานข้อมูล คืออะไร?,DATABASE SYSTEM CONCEPTS,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
103,รายวิชา 06066300 แนวคิดระบบฐานข้อมูล อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
104,รายวิชา 06066302 คือวิชาอะไร?,"การเขียนโปรแกรมเว็บพื้นฐาน (FUNDAMENTAL WEB PROGRAMMING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
105,รายวิชา 06066302 การเขียนโปรแกรมเว็บพื้นฐาน มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
106,ชื่อภาษาอังกฤษของรายวิชา 06066302 การเขียนโปรแกรมเว็บพื้นฐาน คืออะไร?,FUNDAMENTAL WEB PROGRAMMING,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
107,รายวิชา 06066302 การเขียนโปรแกรมเว็บพื้นฐาน อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
108,รายวิชา 06066304 คือวิชาอะไร?,"การวิเคราะห์และอออกแบบระบบสารสนเทศ (INFORMATION SYSTEM ANALYSIS AND DESIGN), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
109,รายวิชา 06066304 การวิเคราะห์และอออกแบบระบบสารสนเทศ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
110,ชื่อภาษาอังกฤษของรายวิชา 06066304 การวิเคราะห์และอออกแบบระบบสารสนเทศ คืออะไร?,INFORMATION SYSTEM ANALYSIS AND DESIGN,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
111,รายวิชา 06066304 การวิเคราะห์และอออกแบบระบบสารสนเทศ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
112,รายวิชา 06026204 คือวิชาอะไร?,"เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น (INTRODUCTION TO NETWORKS AND CYBERSECURITY), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
113,รายวิชา 06026204 เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
114,ชื่อภาษาอังกฤษของรายวิชา 06026204 เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น คืออะไร?,INTRODUCTION TO NETWORKS AND CYBERSECURITY,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
115,รายวิชา 06026204 เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
116,รายวิชา 06026207 คือวิชาอะไร?,"ระบบฐานข้อมูลแบบโนเอสคิวแอล (NOSQL DATABASE SYSTEMS), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
117,รายวิชา 06026207 ระบบฐานข้อมูลแบบโนเอสคิวแอล มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
118,ชื่อภาษาอังกฤษของรายวิชา 06026207 ระบบฐานข้อมูลแบบโนเอสคิวแอล คืออะไร?,NOSQL DATABASE SYSTEMS,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
119,รายวิชา 06026207 ระบบฐานข้อมูลแบบโนเอสคิวแอล อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
120,รายวิชา 06026208 คือวิชาอะไร?,"พื้นฐานวิทยาการข้อมูล (FUNDAMENTALS OF DATA SCIENCE), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
121,รายวิชา 06026208 พื้นฐานวิทยาการข้อมูล มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
122,ชื่อภาษาอังกฤษของรายวิชา 06026208 พื้นฐานวิทยาการข้อมูล คืออะไร?,FUNDAMENTALS OF DATA SCIENCE,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
123,รายวิชา 06026208 พื้นฐานวิทยาการข้อมูล อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
124,รายวิชา 06026209 คือวิชาอะไร?,"การแสดงข้อมูลด้วยแผนภาพ (DATA VISUALIZATION), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
125,รายวิชา 06026209 การแสดงข้อมูลด้วยแผนภาพ มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
126,ชื่อภาษาอังกฤษของรายวิชา 06026209 การแสดงข้อมูลด้วยแผนภาพ คืออะไร?,DATA VISUALIZATION,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
127,รายวิชา 06026209 การแสดงข้อมูลด้วยแผนภาพ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
128,รายวิชา 06026210 คือวิชาอะไร?,"การหาค่าที่เหมาะที่สุด (OPTIMIZATION), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
129,รายวิชา 06026210 การหาค่าที่เหมาะที่สุด มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
130,ชื่อภาษาอังกฤษของรายวิชา 06026210 การหาค่าที่เหมาะที่สุด คืออะไร?,OPTIMIZATION,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
131,รายวิชา 06026210 การหาค่าที่เหมาะที่สุด อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
132,รายวิชา 06066102 คือวิชาอะไร?,"ระบบสารสนเทศเพื่อการจัดการ (MANAGEMENT INFORMATION SYSTEMS), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
133,รายวิชา 06066102 ระบบสารสนเทศเพื่อการจัดการ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
134,ชื่อภาษาอังกฤษของรายวิชา 06066102 ระบบสารสนเทศเพื่อการจัดการ คืออะไร?,MANAGEMENT INFORMATION SYSTEMS,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
135,รายวิชา 06066102 ระบบสารสนเทศเพื่อการจัดการ มีวิชาบังคับก่อน (prerequisite) หรือไม่? ถ้ามีคือวิชาอะไร?,มี — 06066101 (พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ),Prerequisite,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
136,รายวิชา 06066102 ระบบสารสนเทศเพื่อการจัดการ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
137,รายวิชา 06066301 คือวิชาอะไร?,"โครงสร้างข้อมูลและอัลกอริทึม (DATA STRUCTURES AND ALGORITHMS), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
138,รายวิชา 06066301 โครงสร้างข้อมูลและอัลกอริทึม มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
139,ชื่อภาษาอังกฤษของรายวิชา 06066301 โครงสร้างข้อมูลและอัลกอริทึม คืออะไร?,DATA STRUCTURES AND ALGORITHMS,Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
140,รายวิชา 06066301 โครงสร้างข้อมูลและอัลกอริทึม อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
141,รายวิชา 06026211 คือวิชาอะไร?,"การเรียนรู้ของเครื่องเชิงประยุกต์ (APPLIED MACHINE LEARNING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
142,รายวิชา 06026211 การเรียนรู้ของเครื่องเชิงประยุกต์ มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
143,ชื่อภาษาอังกฤษของรายวิชา 06026211 การเรียนรู้ของเครื่องเชิงประยุกต์ คืออะไร?,APPLIED MACHINE LEARNING,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
144,รายวิชา 06026211 การเรียนรู้ของเครื่องเชิงประยุกต์ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
145,รายวิชา 06026212 คือวิชาอะไร?,"การสร้างคลังข้อมูล (DATA WAREHOUSING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
146,รายวิชา 06026212 การสร้างคลังข้อมูล มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
147,ชื่อภาษาอังกฤษของรายวิชา 06026212 การสร้างคลังข้อมูล คืออะไร?,DATA WAREHOUSING,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
148,รายวิชา 06026212 การสร้างคลังข้อมูล มีวิชาบังคับก่อน (prerequisite) หรือไม่? ถ้ามีคือวิชาอะไร?,มี — 06066300 (แนวคิดระบบฐานข้อมูล),Prerequisite,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
149,รายวิชา 06026212 การสร้างคลังข้อมูล อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
150,รายวิชา 90644042 คือวิชาอะไร?,"การสื่อสารและการนำเสนออย่างมืออาชีพ (PROFESSIONAL COMMUNICATION AND PRESENTATION), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
151,รายวิชา 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
152,ชื่อภาษาอังกฤษของรายวิชา 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ คืออะไร?,PROFESSIONAL COMMUNICATION AND PRESENTATION,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
153,รายวิชา 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
154,รายวิชา 06026213 คือวิชาอะไร?,"ระบบข้อมูลมหัต (BIG DATA SYSTEMS), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
155,รายวิชา 06026213 ระบบข้อมูลมหัต มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
156,ชื่อภาษาอังกฤษของรายวิชา 06026213 ระบบข้อมูลมหัต คืออะไร?,BIG DATA SYSTEMS,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
157,รายวิชา 06026213 ระบบข้อมูลมหัต มีวิชาบังคับก่อน (prerequisite) หรือไม่? ถ้ามีคือวิชาอะไร?,มี — 06066300 (แนวคิดระบบฐานข้อมูล),Prerequisite,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
158,รายวิชา 06026213 ระบบข้อมูลมหัต อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
159,รายวิชา 06026214 คือวิชาอะไร?,"โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1 (PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 1), 3(0-9-0) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
160,รายวิชา 06026214 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1 มีกี่หน่วยกิต?,3(0-9-0),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
161,ชื่อภาษาอังกฤษของรายวิชา 06026214 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1 คืออะไร?,PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 1,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
162,รายวิชา 06026214 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1 อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
163,รายวิชา 06066100 คือวิชาอะไร?,"การบริหารโครงการเทคโนโลยีสารสนเทศ (INFORMATION TECHNOLOGY PROJECT MANAGEMENT), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
164,รายวิชา 06066100 การบริหารโครงการเทคโนโลยีสารสนเทศ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
