row_number,code,name_th,name_en,credits,year,semester,year_semester_display,category,type,elective_group,prerequisite,flexible_year_semester,note,program,plan,ground_truth_source
80,06026250,วิทยาการข้อมูลสำหรับธุรกิจ,DATA SCIENCE FOR BUSINESS,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
81,06026251,บัญชีการเงิน,FINANCIAL ACCOUNTING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
82,06026252,การวิเคราะห์ด้านการเงิน,FINANCIAL ANALYTICS,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
83,06026253,การวิเคราะห์ด้านการตลาด,MARKETING ANALYTICS,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
84,06026254,เทคโนโลยีสุขภาพสนเทศศาสตร์เบื้องต้น,INTRODUCTION TO HEALTH ANALYTICS,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
85,06026255,การได้มาและการจัดการข้อมูลทางด้านคลินิก,CLINICAL DATA ACQUISITION AND MANAGEMENT,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
86,06026256,การจัดการการปฏิบัติการ,OPERATIONS MANAGEMENT,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
87,06026257,การบริหารเชิงกลยุทธ์และสมรรถะของธุรกิจ,BUSINESS STRATEGIC AND PERFORMANCE MANAGEMENT,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
88,06026258,การวิเคราะห์เครือข่ายสังคม,SOCIAL NETWORK ANALYSIS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
89,06026259,สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS,6(0-35-0),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",เฉพาะโครงการเข้าร่วมสหกิจ,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
90,06026260,สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,OVERSEA COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS,6(0-35-0),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",เฉพาะโครงการเข้าร่วมสหกิจ,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
